model,method,params,accuracy,f1_score,precision,recall,auc_roc,centroid_dot_product
BAAI/bge-large-en-v1.5,near_centroid,335M,0.712,0.7143616071109732,0.7213216616445641,0.712,0.783751181312162,0.4679131805896759
sentence-transformers/all-MiniLM-L6-v2,near_centroid,22M,0.6995,0.701845090527745,0.7080205769702154,0.6995,0.7552118243622996,0.08907522261142731
intfloat/e5-small-v2,near_centroid,33M,0.716,0.7179394554163785,0.7225152148551428,0.716,0.7752483357549367,0.7905926704406738
BAAI/bge-small-en-v1.5,near_centroid,33M,0.7075,0.710023440371073,0.7180377179992179,0.7075,0.7695952106378461,0.5100562572479248
